Transaction Description,Category
new set of kitchen appliances,Home
purchase of a new gaming console,Entertainment
buying a new suitcase,Travel
grocery shopping for the week,Food
family outing to the museum,Family
new laptop accessories,Shopping
savings bond purchase,Shopping
home office decoration,Home
gasoline for the car,Transportation
buying new winter gear,Shopping
donation to cancer research,Charity
holiday spending for family,Family
purchasing a new home appliance,Home
new phone charger,Shopping
rent for vacation home,Travel
buying new art supplies,Education
weekly grocery shopping,Food
paying for a music streaming service,Entertainment
purchasing a new yoga mat,Health
buying a new fridge for the kitchen,Home
family celebration dinner,Family
contribution to a community fund,Charity
purchase of a new blender for the kitchen,Home
buying a gift for a spouse,Family
new workout clothes,Health
paying for an online subscription,Entertainment
office rent for the month,Office
buying new gardening equipment,Outdoor
family trip to the beach,Travel
sponsorship for a charity event,Charity
office chair purchase,Office
monthly phone bill payment,Utilities
purchasing new outdoor furniture,Outdoor
grocery shopping for party,Food
new camera gear,Shopping
payment for an online learning course,Education
buying a new set of kitchen tools,Home
family visit to a zoo,Family
buying a new set of golf clubs,Outdoor
lunch out with friends,Food
new season tickets for sports team,Entertainment
buying a new tablet case,Shopping
purchase of a new stove,Home
charity event donation,Charity
office repair costs,Office
buying a new tent for camping,Outdoor
home cleaning supplies,Home
rent payment for office,Office
purchase of a new winter coat,Shopping
payment for home renovation,Home
grocery shopping for health food,Food
purchase of a new bicycle helmet,Transportation
donation to animal rescue,Charity
buying a new laptop stand,Shopping
family visit to an aquarium,Family
new kitchen gadget purchase,Home
buying a new GPS device,Travel
office computer repair,Office
buying new clothes for winter,Shopping
purchasing a new set of towels,Home
purchase of a new exercise bike,Health
buying a new outdoor grill,Outdoor
monthly payment for fitness app,Health
new book for home library,Home
family game night supplies,Family
payment for a dental visit,Health
buying a new camera for travel,Travel
grocery shopping for special occasion,Food
donation to veterans’ organization,Charity
purchase of new art supplies for kids,Education
buying a new sofa,Home
family celebration for a milestone,Family
buying a new set of cookware,Home
office equipment purchase,Office
payment for a painting class,Education
new set of home workout equipment,Health
buying a new printer for home office,Office
purchasing a new garden hose,Outdoor
monthly rent for family apartment,Housing
buying a new video game console,Entertainment
payment for a new appliance,Home
purchase of new travel accessories,Travel
buying a new exercise band,Health
monthly rent,Housing
samsung phone purchase,Shopping
gas for car,Transportation
family dinner,Family
weekend getaway,Travel
dog food,Pets
electricity bill,Utilities
college textbooks,Education
office supplies,Office
new hiking boots,Outdoor
donation to local shelter,Charity
online course fee,Education
repair service for fridge,Home
groceries,Food
weekend trip to beach,Travel
child's birthday gift,Family
taxi ride,Transportation
new TV for living room,Home
medical checkup,Health
buying a new couch,Home
donating to charity run,Charity
dinner at burger king,Food
new software for work,Office
taking the dog to the vet,Health
paying for internet,Utilities
shopping at apple store,Shopping
coffee with friends,Food
grocery shopping,Food
buying books for self,Education
rent for office space,Office
replacing air conditioner,Home
gift for friend,Family
saving for vacation,Travel
buying pet toys,Pets
monthly insurance,Utilities
tickets for amusement park,Entertainment
Starbucks coffee beans,Food
buying workout gear,Outdoor
new furniture for bedroom,Home
kids' school supplies,Education
weekend camping trip,Outdoor
medical bills,Health
new smartwatch,Shopping
paying water bill,Utilities
birthday gift for partner,Family
lunch at local diner,Food
buying cat litter,Pets
subscriptions for online services,Office
family movie night,Entertainment
office renovation,Home
grocery delivery,Food
trip to local zoo,Entertainment
bike repair,Transportation
paying for phone bill,Utilities
new bike for exercise,Outdoor
purchase of office chair,Office
monthly cleaning supplies,Home
buying kids' clothes,Shopping
dog grooming,Health
buying a tent for camping,Outdoor
gifts for children,Family
gym gear purchase,Health
donation to food bank,Charity
buying new kitchen gadgets,Home
dinner at fancy restaurant,Food
new office printer,Office
paying for streaming services,Entertainment
repair for washing machine,Home
buying seasonal decorations,Home
taking the family out for lunch,Family
purchase of new car,Transportation
paying for house insurance,Housing
new shoes from Nike,Shopping
books for kids,Education
buying pet food,Food
subscription for fitness app,Health
charity auction donation,Charity
buying new gaming console,Entertainment
rent for a new apartment,Housing
new cookware for kitchen,Home
pet adoption fee,Charity
grocery bill,Food
buying tools for gardening,Outdoor
buying concert tickets,Entertainment
purchase of a new mattress,Home
paying for car registration,Transportation
family weekend trip,Travel
rent for parking space,Utilities
paying for house cleaning,Home
purchasing new music albums,Entertainment
buying a smartwatch,Shopping
electric bill,Utilities
buying outdoor furniture,Outdoor
grocery store visit,Food
buying a new bicycle,Outdoor
paying for home repairs,Home
donation to veterans' fund,Charity
buying snacks for kids,Food
new fitness tracker,Health
rent for office building,Office
buying new curtains,Home
coffee with colleagues,Food
family outing to theme park,Entertainment
buying tools for DIY project,Home
pet vaccinations,Health
buying new phone case,Shopping
gym membership renewal,Health
lunch at local cafe,Food
buying a new desk for home office,Home
subscription to a magazine,Entertainment
purchase of home security system,Home
buying seasonal fruits,Food
dinner at seafood restaurant,Food
buying a new camera,Shopping
paying for car insurance,Transportation
charitable contribution,Charity
family vacation trip,Travel
office cleaning supplies,Office
buying a new blender,Home
paying for personal training,Health
monthly mortgage payment,Housing
buying gardening supplies,Outdoor
paying for tutoring,Education
buying toys for children,Shopping
new hiking gear,Outdoor
lunch with coworkers,Food
paying for home utilities,Utilities
buying outdoor grill,Outdoor
new headphones,Shopping
buying office desk,Office
taking the family out for dinner,Food
buying pet grooming products,Health
paying for landscaping service,Home
buying new printer cartridges,Office
coffee maker purchase,Home
buying workout apparel,Health
payment for child’s activities,Family
buying a new laptop bag,Shopping
donation to environmental cause,Charity
paying for internet subscription,Utilities
buying new toys for dog,Pets
purchase of home decor items,Home
dinner at Italian restaurant,Food
buying a tent for camping trip,Outdoor
paying for phone repairs,Utilities
buying a new backpack,Shopping
donation to local orphanage,Charity
purchase of new camera equipment,Shopping
family day at the zoo,Entertainment
buying snacks for movie night,Food
paying for emergency medical treatment,Health
new kitchen appliances,Home
buying pet food and treats,Food
subscription to an educational platform,Education
buying a new gaming keyboard,Shopping
paying for family health insurance,Health
new office decorations,Office
buying outdoor sports gear,Outdoor
monthly water bill,Utilities
dinner at a sushi restaurant,Food
buying a new phone charger,Shopping
paying for child's school trip,Education
buying cleaning supplies for home,Home
donation to local animal shelter,Charity
new office chair purchase,Office
buying a gift for anniversary,Family
taking the kids to an amusement park,Entertainment
paying for gym renovation,Health
buying seasonal decorations for home,Home
new bicycle for commuting,Transportation
paying for family holiday trip,Travel
purchasing a new washing machine,Home
buying pet bedding,Home
donation to local homeless shelter,Charity
buying new office equipment,Office
purchase of outdoor grill,Outdoor
new family car,Transportation
paying for home pest control,Home
buying a new dishwasher,Home
monthly cable bill,Utilities
buying new laptop accessories,Shopping
family outing to museum,Education
buying seasonal plants for garden,Outdoor
donation for animal welfare,Charity
buying new book collection,Education
buying a new gaming console,Entertainment
paying for family health check-ups,Health
buying new sunglasses,Shopping
rent for commercial space,Office
purchasing seasonal clothing,Shopping
buying new cleaning products,Home
paying for annual home insurance,Utilities
buying a new bicycle helmet,Outdoor
donation to educational fund,Charity
buying a new refrigerator,Home
lunch with family,Food
buying a new gaming headset,Entertainment
paying for monthly gym membership,Health
buying a new coffee grinder,Home
buying snacks for a party,Food
donation to cancer foundation,Charity
new desk organizer for office,Office
purchasing home safety equipment,Home
family picnic,Outdoor
buying new office chair,Office
paying for household maintenance,Home
buying groceries for the week,Food
donation to health research,Charity
buying new garden tools,Outdoor
monthly phone plan,Utilities
buying new workout shoes,Health
purchase of new home stereo system,Home
family movie night out,Entertainment
buying pet grooming tools,Health
new outdoor furniture set,Outdoor
monthly car maintenance,Transportation
buying a new book on gardening,Education
buying a new mattress for bedroom,Home
paying for emergency home repairs,Home
new office laptop,Shopping
donation to local community fund,Charity
buying new cookware set,Home
rent for family vacation home,Travel
buying seasonal fruits and vegetables,Food
monthly gym subscription,Health
purchasing a new kitchen island,Home
donation to medical research,Charity
buying office supplies,Office
new family entertainment system,Entertainment
buying a new pet carrier,Pets
paying for house painting,Home
new garden furniture,Outdoor
buying new holiday decorations,Home
monthly mortgage for house,Housing
buying new yoga mat,Health
paying for home security monitoring,Home
buying new bicycle accessories,Outdoor
donation to disaster relief fund,Charity
buying new gardening gloves,Outdoor
buying a new coffee table,Home
paying for child's extracurricular activities,Family
buying a new home gym,Health
purchase of new office printer,Office
buying a new car battery,Transportation
paying for online learning course,Education
new pet bed,Home
buying new cookware for kitchen,Home
Gas refill,Transportation
Apple Watch,Shopping
Fishing rod,Outdoor
Monthly school fees,Education
Science camp for kids,Education
New phone case,Shopping
Living room decor,Home
Bought groceries for family,Family
burger for a homeless man,Food
Security system installation,Housing
Best Buy electronics,Shopping
Stationery supplies from Adidas,Office
Night out bowling,Entertainment
Train ticket to city,Transportation
Airbnb stay from Nike,Travel
New gaming console,Entertainment
New bed sheets,Home
Picnic supplies from Best Buy,Outdoor
Samsung TV from Apple Watch,Shopping
lunch from Uber,Food
Supported children's home from Adidas,Charity
New luggage for trip from Starbucks,Travel
Gym membership from Adidas,Health
Water bill from Apple Watch,Utilities
Pharmacy purchase,Health
Printer ink,Office
Bought hiking shoes,Outdoor
Monthly rent,Housing
Team lunch at office,Office
Wall paint for living room from Airbnb,Home
Donation to local charity,Charity
Online coding course,Education
Monthly phone bill,Utilities
Fishing rod from Nike,Outdoor
Stationery supplies,Education
Bought groceries for family from Apple Watch,Family
New monitor,Office
Dog walker payment,Pets
Vet visit,Pets
Black Friday deals,Shopping
Cat litter from Amazon,Pets
Home insurance from Apple Watch,Housing
Online coding course from Airbnb,Education
Monthly office supplies,Office
Stationery supplies,Office
New school uniform from Adidas,Family
New bed sheets from Airbnb,Home
Monthly school fees from Samsung,Education
Theme park tickets,Entertainment
Taxi ride to airport from Amazon,Transportation
Camping gear,Outdoor
Supported children's home,Charity
Bought a book from Nike,Entertainment
Home maintenance fee,Utilities
Water bill from Burger King,Utilities
Supported children's home from Best Buy,Charity
New dog toy,Pets
New furniture from Amazon,Housing
Office chair from Samsung,Office
Adopted a puppy,Pets
Science camp for kids from Adidas,Education
coffee from Apple Watch,Food
Hotel booking,Travel
Outdoor BBQ setup,Outdoor
Math tutoring,Education
New school uniform,Family
Rock climbing equipment,Outdoor
Airport shuttle,Travel
New luggage for trip,Travel
dinner at Burger King,Food
Bought textbooks,Education
Gas refill from Burger King,Transportation
Kitchen supplies from Apple Watch,Home
New shoes from Nike from Nike,Shopping
Bought new couch,Home
New dog toy from Airbnb,Pets
New sneakers from Starbucks,Shopping
Gardening tools,Home
New luggage for trip from Apple Watch,Travel
burger for a homeless man from Burger King,Food
Monthly school fees from Uber,Education
New sneakers from Nike,Shopping
Yoga class,Health
Night out bowling from Nike,Entertainment
Airport shuttle from Samsung,Travel
Plane ticket to New York,Travel
New bed sheets from Uber,Home
Bought vitamins from Samsung,Health
Donated clothes,Charity
Bought vitamins from Nike,Health
New bike tire from Airbnb,Transportation
Clothes shopping at Amazon,Shopping
New dog toy from Starbucks,Pets
Child's birthday gift,Family
Monthly office supplies from Best Buy,Office
Houseplant purchase,Home
Monthly charity donation,Charity
Kitchen supplies from Samsung,Home
New shoes from Nike from Amazon,Shopping
Pet food from Apple Watch,Pets
Rock climbing equipment from Apple Watch,Outdoor
Art workshop registration from Starbucks,Education
lunch from Samsung,Food
Cat litter from Samsung,Pets
Stationery supplies from Apple Watch,Office
Dog walker payment from Airbnb,Pets
House cleaning service from Uber,Housing
Bought a book,Entertainment
Travel insurance from Adidas,Travel
Fundraising event contribution,Charity
Taxi ride to airport from Burger King,Transportation
Plane ticket to New York from Uber,Travel
Car rental,Travel
Donated clothes from Samsung,Charity
Gardening tools from Starbucks,Housing
Donated clothes from Burger King,Charity
Team lunch at office from Samsung,Office
Supported children's home from Uber,Charity
New running shoes,Health
Wall paint for living room from Apple Watch,Home
Cable subscription payment,Utilities
Office chair,Office
Airbnb stay,Travel
Kitchen supplies,Home
Office decor,Office
House cleaning service from Apple Watch,Housing
Bought groceries for family from Nike,Family
House cleaning service from Airbnb,Housing
Monthly rent from Samsung,Housing
Living room decor from Apple Watch,Home
Annual pet vaccination,Pets
Internet payment from Burger King,Utilities
Supported children's home from Starbucks,Charity
Home insurance,Housing
Picnic supplies,Outdoor
Stationery supplies from Starbucks,Office
Movie tickets from Nike,Entertainment
coffee from Samsung,Food
New shoes from Nike,Shopping
New luggage for trip from Airbnb,Travel
Child's birthday gift from Uber,Family
Monthly charity donation from Airbnb,Charity
Monthly office supplies from Nike,Office
snacks for movie night from Nike,Food
Hotel booking from Best Buy,Travel
Dental checkup,Health
Car maintenance from Samsung,Transportation
Monthly bus pass from Airbnb,Transportation
Apple Watch from Uber,Shopping
Gas bill from Starbucks,Utilities
Team lunch at office from Starbucks,Office
Gym membership,Health
Dinner with family from Starbucks,Family
Bought meals for shelter,Charity
Hotel booking from Airbnb,Travel
Outdoor BBQ setup from Airbnb,Outdoor
Dinner with family from Amazon,Family
Uber to work from Adidas,Transportation
snacks for movie night from Samsung,Food
Water bill from Starbucks,Utilities
Gardening tools from Best Buy,Housing
lunch from Apple Watch,Food
Wall paint for living room,Home
Samsung TV,Shopping
New furniture,Housing
dinner at Burger King from Adidas,Food
Wall paint for living room from Starbucks,Home
Dinner with family,Family
House cleaning service,Housing
Art workshop registration,Education
Bought groceries for family from Uber,Family
Pharmacy purchase from Burger King,Health
Supported children's home from Amazon,Charity
Internet payment,Utilities
New bike tire,Transportation
Doctor's appointment from Airbnb,Health
Gardening tools,Housing
Dinner with family from Uber,Family
Doctor's appointment from Best Buy,Health
Bought groceries for family from Adidas,Family
Bought hiking shoes from Adidas,Outdoor
Fundraising event contribution from Best Buy,Charity
Math tutoring from Airbnb,Education
Child's birthday gift from Apple Watch,Family
Pet food from Starbucks,Pets
Annual pet vaccination from Adidas,Pets
New sneakers,Shopping
Cat litter from Starbucks,Pets
Bought hiking shoes from Best Buy,Outdoor
Pet food from Airbnb,Pets
Wall paint for living room from Best Buy,Home
New bed sheets from Apple Watch,Home
New luggage for trip from Uber,Travel
Gas refill from Nike,Transportation
Home insurance from Starbucks,Housing
Living room decor from Uber,Home
Dog walker payment from Best Buy,Pets
Family picnic supplies,Family
Gas bill from Best Buy,Utilities
Gas bill from Uber,Utilities
Bought hiking shoes from Nike,Outdoor
Plane ticket to New York from Apple Watch,Travel
Internet payment from Airbnb,Utilities
Airbnb stay from Burger King,Travel
New monitor from Apple Watch,Office
Bought vitamins from Best Buy,Health
Monthly bus pass from Nike,Transportation
Monthly bus pass,Transportation
Starbucks latte from Airbnb,Food
grocery shopping from Apple Watch,Food
Concert tickets from Amazon,Entertainment
Bought meals for shelter from Amazon,Charity
Doctor's appointment from Nike,Health
Movie tickets from Starbucks,Entertainment
Bought hiking shoes from Amazon,Outdoor
Gas bill from Apple Watch,Utilities
Travel insurance,Travel
Home maintenance fee from Samsung,Utilities
Pharmacy purchase from Airbnb,Health
Math tutoring from Uber,Education
Cat litter,Pets
Vet visit from Amazon,Pets
Monthly phone bill from Nike,Utilities
Best Buy electronics from Burger King,Shopping
Vet visit from Best Buy,Pets
Pharmacy purchase from Adidas,Health
Bought vitamins,Health
Bought a book from Apple Watch,Entertainment
snacks for movie night,Food
Water bill from Uber,Utilities
Gas bill from Nike,Utilities
Uber to work,Transportation
dinner at Burger King from Uber,Food
Electricity bill from Uber,Utilities
grocery shopping from Starbucks,Food
snacks for movie night from Adidas,Food
Family picnic supplies from Adidas,Family
Monthly charity donation from Best Buy,Charity
Mountain bike accessories from Adidas,Outdoor
Family picnic supplies from Airbnb,Family
New school uniform from Burger King,Family
Dinner with family from Samsung,Family
Math tutoring from Nike,Education
Art workshop registration from Samsung,Education
Dental checkup from Uber,Health
Bought new couch from Airbnb,Home
Bought new couch from Apple Watch,Home
Concert tickets from Airbnb,Entertainment
Car rental from Burger King,Travel
New school uniform from Airbnb,Family
Outdoor BBQ setup from Amazon,Outdoor
Best Buy electronics from Nike,Shopping
Travel insurance from Amazon,Travel
Living room decor from Nike,Home
Black Friday deals from Amazon,Shopping
Bought groceries for family from Burger King,Family
Child's birthday gift from Best Buy,Family
grocery shopping from Burger King,Food
Bought meals for shelter from Samsung,Charity
Theme park tickets from Apple Watch,Entertainment
Monthly charity donation from Burger King,Charity
House cleaning service from Samsung,Housing
Kitchen supplies from Burger King,Home
Mortgage payment from Uber,Housing
Living room decor from Burger King,Home
House cleaning service from Adidas,Housing
Home maintenance fee from Amazon,Utilities
Math tutoring from Samsung,Education
Electricity bill from Airbnb,Utilities
Family picnic supplies from Starbucks,Family
Child's birthday gift from Starbucks,Family
Living room decor from Starbucks,Home
Taxi ride to airport from Samsung,Transportation
Mountain bike accessories,Outdoor
Airbnb stay from Starbucks,Travel
New school uniform from Amazon,Family
Supported children's home from Apple Watch,Charity
Dog walker payment from Samsung,Pets
Cat litter from Adidas,Pets
New gaming console from Airbnb,Entertainment
Bought textbooks from Adidas,Education
New gaming console from Burger King,Entertainment
coffee from Starbucks,Food
Gas refill from Best Buy,Transportation
Concert tickets from Adidas,Entertainment
Fundraising event contribution from Burger King,Charity
Theme park tickets from Samsung,Entertainment
New phone case from Uber,Shopping
Stationery supplies from Best Buy,Education
Adopted a puppy from Adidas,Pets
coffee from Uber,Food
Home insurance from Burger King,Housing
Bought new couch from Adidas,Home
Car maintenance from Amazon,Transportation
Concert tickets from Burger King,Entertainment
Clothes shopping at Amazon from Burger King,Shopping
Monthly phone bill from Burger King,Utilities
Security system installation from Apple Watch,Housing
Airbnb stay from Apple Watch,Travel
Donation to local charity from Airbnb,Charity
burger for a homeless man from Amazon,Food
Netflix subscription from Starbucks,Entertainment
Bought hiking shoes from Burger King,Outdoor
Printer ink from Apple Watch,Office
Gas bill from Burger King,Utilities
Car maintenance from Nike,Transportation
New bike tire from Starbucks,Transportation
Fundraising event contribution from Amazon,Charity
Gym membership from Nike,Health
Monthly rent from Apple Watch,Housing
Stationery supplies from Amazon,Education
Plane ticket to New York from Airbnb,Travel
New luggage for trip from Amazon,Travel
Art workshop registration from Burger King,Education
New bike tire from Samsung,Transportation
Outdoor BBQ setup from Apple Watch,Outdoor
Gardening tools from Adidas,Home
Yoga class from Uber,Health
Electricity bill from Best Buy,Utilities
Houseplant purchase from Airbnb,Home
Water bill from Amazon,Utilities
Adopted a puppy from Burger King,Pets
Gas bill from Adidas,Utilities
Monthly charity donation from Nike,Charity
New phone case from Burger King,Shopping
Gardening tools from Starbucks,Home
Mortgage payment from Best Buy,Housing
New bed sheets from Best Buy,Home
Monthly rent from Best Buy,Housing
Home insurance from Nike,Housing
Picnic supplies from Starbucks,Outdoor
Stationery supplies from Nike,Education
Math tutoring from Amazon,Education
Bought meals for shelter from Airbnb,Charity
Car rental from Adidas,Travel
Car rental from Nike,Travel
Camping gear from Adidas,Outdoor
Donated clothes from Best Buy,Charity
Clothes shopping at Amazon from Amazon,Shopping
Science camp for kids from Airbnb,Education
Car maintenance from Uber,Transportation
Bought a book from Uber,Entertainment
Taxi ride to airport from Uber,Transportation
